5,0,1,9,0.0246914
20,0,1,9,0.0246914
50,0,1,9,0.0246914
75,0,1,9,0.0246914
100,0,1,9,0.0246914
5,0.1,1,9,0.0621671
20,0.1,1,9,0.0433690
50,0.1,1,9,0.0294870
75,0.1,1,9,0.0282049
100,0.1,1,9,0.0312736
5,0.2,1,9,0.0993341
20,0.2,1,9,0.0771388
50,0.2,1,9,0.0586880
75,0.2,1,9,0.0447569
100,0.2,1,9,0.0437930
5,0.3,1,9,0.2020283
20,0.3,1,9,0.0548336
50,0.3,1,9,0.0435954
75,0.3,1,9,0.0288046
100,0.3,1,9,0.0292240
5,0.4,1,9,0.2074219
20,0.4,1,9,0.1405637
50,0.4,1,9,0.0846035
75,0.4,1,9,0.0651153
100,0.4,1,9,0.0476989
5,0,2,9,0.2277690
20,0,2,9,0.2277690
50,0,2,9,0.2277690
75,0,2,9,0.2277690
100,0,2,9,0.2277690
5,0.1,2,9,0.2308131
20,0.1,2,9,0.2303328
50,0.1,2,9,0.2325702
75,0.1,2,9,0.2300055
100,0.1,2,9,0.2289762
5,0.2,2,9,0.2367455
20,0.2,2,9,0.2304155
50,0.2,2,9,0.2268216
75,0.2,2,9,0.2280689
100,0.2,2,9,0.2270409
5,0.3,2,9,0.2165689
20,0.3,2,9,0.2049623
50,0.3,2,9,0.1987056
75,0.3,2,9,0.2013585
100,0.3,2,9,0.2005709
5,0.4,2,9,0.1258031
20,0.4,2,9,0.1568095
50,0.4,2,9,0.1733740
75,0.4,2,9,0.1730712
100,0.4,2,9,0.179631
